"FIPS","NAME","SHAPE_AREA","SHAPE_LEN","ending","1","2"
3020,"Chatham",147681107.916,62941.898624,"ham",-71.0488385497633,44.1658588325006
7170,"Sargents Purchase",66881093.8475,56405.1565244,"gents",-71.3001296005426,44.2205599946478
7010,"Beans Grant",25103585.9723,25860.0609441,"eans",-71.3759196905495,44.2238399906768
9167,"Sugar Hill",41653320.6171,27777.3971361,"gar",-71.7933895602,44.2231872665818
9070,"Franconia",170565088.147,54876.457868,"ran",-71.6619682389254,44.1862094181109
7060,"Cutts Grant",29262119.8083,25570.9117955,"utts",-71.3351985468177,44.2062854563246
3055,"Jackson",173028601.027,56064.7479251,"son",-71.188146298696,44.1848391317847
9015,"Bath",100447186.947,44450.2893389,"ath",-71.9869998510263,44.1810674796615
3050,"Harts Location",49354664.6598,44716.8513317,"arts",-71.3709784568398,44.1366570428833
9105,"Landaff",74546690.8417,36539.5108308,"daff",-71.8797883103415,44.1572448107651
9115,"Lincoln",337575263.886,94601.6817865,"oln",-71.5805351563971,44.0991731270197
9055,"Easton",81162970.4175,37237.0711671,"ton",-71.7941103590801,44.1276976790338
7105,"Hadleys Purchase",19057641.4017,23556.7858972,"leys",-71.3326312019177,44.1274583704556
9200,"Unorg. Terr.",169761304.549,86308.5325426,"ory",-71.462208536948,44.0443830384777
9090,"Haverhill",137206843.01,61105.4042139,"hill",-71.9958862385219,44.0761680037095
3010,"Bartlett",193415901.058,72005.7156617,"lett",-71.2339742826014,44.0811279150511
9020,"Benton",126418953.325,45211.9756072,"ton",-71.8770719061316,44.041985119025
9190,"Woodstock",155148197.141,52191.3564915,"stock",-71.7375284896552,43.9995803072647
3025,"Conway",186248702.501,67688.5064375,"way",-71.0740750430296,44.0088352231234
3045,"Hales Location",6377702.98075,10972.3383633,"ales",-71.1727312335136,44.0393790234435
9155,"Piermont",103830052.326,50033.9790012,"mont",-72.0307435213945,43.9756532969871
9170,"Thornton",131297905.494,56863.6476524,"ton",-71.6443507510125,43.9257788709767
7160,"Pittsburg",753817616.912,165168.764247,"burg",-71.2500332977337,45.1439244292788
3005,"Albany",195058671.809,59977.525665,"bany",-71.2716223131248,43.9750062519165
9181,"Waterville Valley",164265200.331,53951.1397935,"ville",-71.4781381661564,43.9471696836988
9175,"Warren",125155027.48,45396.2972806,"ren",-71.8827222341878,43.9460758841929
3030,"Eaton",66419103.2755,38728.8609231,"ton",-71.0510895111057,43.9025990232391
3060,"Madison",104988004.691,43462.4989278,"son",-71.1528793046571,43.8996283158291
9150,"Orford",123645739.449,46389.3579043,"ford",-72.0666404864782,43.8964001942697
9060,"Ellsworth",55387809.6316,30615.2164778,"worth",-71.771396184201,43.9036095121773
3080,"Tamworth",157125237.464,52783.9400347,"worth",-71.2794950590854,43.8579196995231
9181,"Wentworth",109689682.063,44825.3405349,"worth",-71.9294248265991,43.8609469092163
3075,"Sandwich",241919270.554,62850.2000181,"wich",-71.4489820605493,43.8404818849569
9165,"Rumney",108126510.595,42225.7324051,"ney",-71.8088148075807,43.82751970024
9040,"Campton",135994870.598,52850.4095801,"ton",-71.6466759630492,43.8293417671899
3040,"Freedom",98481819.0113,50565.5453953,"dom",-71.073915663486,43.826446944142
9135,"Lyme",150330968.889,51831.2022135,"yme",-72.1179975489411,43.8035119473099
9050,"Dorchester",119449681.694,44169.5748292,"ter",-71.9820896334713,43.7705772250389
3070,"Ossipee",197006175.086,77746.9606963,"ipee",-71.1525078010084,43.7356833687959
9080,"Groton",108056104.849,44129.590863,"ton",-71.8600185477699,43.7453068673687
9160,"Plymouth",75702409.5586,41746.2557935,"outh",-71.7229074814177,43.7443103647102
13030,"Canterbury",115659505.44,50868.128967,"bury",-71.5437506333606,43.3537591705419
13120,"Sutton",111515884.694,43070.1545943,"ton",-71.9287777769703,43.3410738288112
13085,"Loudon",121491800.697,46588.7936542,"don",-71.4398229674168,43.3214192666919
13125,"Warner",147362751.953,66336.9883097,"ner",-71.8273430994412,43.282418516709
13090,"Newbury",98948474.6135,40149.1066576,"bury",-72.0272725206484,43.3161882699456
13015,"Boscawen",65482423.0669,42254.6569572,"cawen",-71.6523129444099,43.3246913653509
17050,"Rochester",120071198.332,52325.5976672,"ter",-70.9763358301255,43.2999618150498
13130,"Webster",73456339.2792,37727.4197912,"ter",-71.71779603304,43.300610111186
17065,"Strafford",134578222.476,46510.1839055,"ford",-71.14764398194,43.2805348512898
13110,"Pittsfield",63124490.5984,36703.9032292,"field",-71.3086506514632,43.2950364430634
