date,state,city,county,age,sex,vehicle_related,circumstance,location,activity,comments
2013-04-29,ND,Minto,Walsh,55,M,NA,NA,Road,Driving,"A 55 year old Walsh County man is believed to have died after
  his pickup was swept away from a water-covered gravel road Monday evening,
  April 29th,
    about 3 miles southwest of Minto, N.D.. The pickup was recovered but the
  man's body has yet to be found."
2013-04-19,IN,Arcadia,Hamilton,64,M,NA,NA,Road,Driving,"Man tried to drive through the flooded area of a street when his
  car was swept away by the forceful current off of the road and about 100
  yards downstream.  Car became
  completely submerged with running water. Road had been barricaded off due to
  the flooding."
2013-04-19,IN,Arcadia,Hamilton,42,M,NA,NA,Road,Driving,"Same spot as previous report with person doing the same
  thing.  Truck swept away by water near
  Cicero Creek. Road had been barricaded off due to the flooding.  Man was visiting sister and driving back to
  dad's house.  Supposedly drowned trying
  to save dog from drowning."
2013-04-18,MO,De Soto,Jefferson,80,F,NA,NA,Road,Driving,Drove through flood waters.
2013-03-22,KY,Henderson,Henderson,70,M,NA,NA,Road,Driving,"Appears victim tried to drive through high water on a road, but
  stalled.  Got out to try and walk
  through it and likely drowned that way."
2013-03-08,AZ,Scottsdale,Maricopa,38,F,NA,NA,In Wash,Unknown,Woman went missing in wash.
2013-02-21,HI,Hanakapiai Beach,Kauai,NA,F,NA,NA,NA,NA,"One of the approximately 50 hikers stranded on the Na Pali Coast
  on Kauai was swept into the swollen Hanakapiai Stream near Hanakapiai
  Beach."
2013-01-31,MD,Maryland Park,Anne Arundel,26,F,NA,NA,River,Homeless,"Flood waters washed away a homeless camp before dams were opened
  on the Patuxent River."
2012-11-30,CA,Soquel,Santa Cruz,47,M,NA,"Victim drowned in the waters of Soquel Creek in
  Capitola during a heavy rainstorm that produced minor flooding of the creek.
  He drowned in a section of the creek in Perry Park at the rear of a grocery
  store on 809 Bay Avenue in Capitola.",NA,NA,NA
2012-10-26,PR,Juana Diaz,Juana Diaz,51,M,NA,"Outer bands of Hurricane Sandy, one person was
  swept away by flooding of Rio Jacaguas.",NA,NA,NA
2012-10-13,OK,Tulsa,Tulsa,14,M,NA,"AST identified the hunter as 51-year-old Bart
  Barnes, of Wasilla, Tuesday morning, and said he tried to cross high water on
  an ATV and had been swept downstream and disappeared.",NA,NA,NA
2012-09-30,TX,Chireno,Nacogdoches,35,F,Yes,"A couple driving in a car hydroplaned and landed in
  a flooded creek on FM95, 3 miles south of Chireno, Texas. While abandoning
  the flooded car, the female passenger was swept away by the waters and
  drowned.",NA,NA,NA
2012-09-24,AK,Susistna River,Susistna Valley,51,M,NA,"Man presumably drowned after being stranded with a
  group of hunters in a remote area near off the Denali Highway near Butte
  Creek.",NA,NA,NA
2012-09-15,PR,Guayanilla,Guayanilla,NA,M,NA,"Two young men were swept away by a sharp rise in
  the Guayanilla river in Barrio Jaguapasto.",NA,NA,NA
2012-09-15,PR,Guayanilla,Guayanilla,NA,M,NA,"""",NA,NA,NA
2012-09-11,NV,Las Vegas,Clark,38,M,NA,"Man was working at Desert Rose Golf Course doing
  landscaping.  Found backhoe tractor
  that he was using stuck in the mud.",NA,NA,NA
2012-09-07,AZ,Tuscon,Pima,52,F,Yes,"Runoff from the Sierrita Mountains reached the west
  side of Tucson many hours after rain ended, causing Brawley Wash to overflow
  its banks. During the overnight hours, five vehicles drove into the flood
  waters and became stranded along Manville Road just west of Sandario Road.
  Around 2 am, one man escaped his vehicle before it was washed downstream only
  to be swept several yards away himself. He suffered a leg injury. His vehicle
  was found  200 yards downstream, upside
  down. The man's wife was found in the vehicle, drowned.",NA,NA,NA
2012-08-22,NV,Henderson,Clark,17,M,NA,"Victim died when he fell into the Pittman Wash and
  was swept downstream.",NA,NA,NA
2012-08-18,TX,Dallas,Dallas,38,M,NA,"Fisherman ignored warnings and was seen trying to
  cross White Rock Creek when he fell into the water, floated downstream and
  disappeared",NA,NA,NA
2012-08-18,TX,Fort Worth,Tarrant,33,M,NA,"Victim drowned in a swift moving creek near Trammel
  Davis Road and South Norwood Drive in Fort Worth. The man stepped into the
  creek to cool off and was swept off his feet.",NA,NA,NA
2012-08-01,UT,La Verken,Washington,2,F,NA,"Victim was noticed missing from her home in the
  city of La Verkin, which was close to the creek. The girl passed away when
  she drowned in the Creek, and her body was found a couple hours after she had
  been reported missing.",NA,NA,NA
2012-07-29,AZ,San Tan Valley,Pinal,2,M,NA,"Victim died after he was swept down a flooded wash
  that ran behind his San Tan Valley home. A citizen on an ATV found the child
  and brought him to emergency crews, who performed CPR on the boy before
  taking him to Banner Ironwood Hospital. He died later that evening.",NA,NA,NA
2012-07-14,AZ,Wickenburg,Maricopa,65,M,Yes,"Victim died as he attempted to drive across the
  Hassayampa wash near Wickenburg. The swiftly flowing water carried his
  vehicle about one quarter of a mile downstream and into some brush, causing
  him to drown.",NA,NA,NA
2012-07-13,AZ,Lake Havasu City,Yuma,38,M,Yes,Victim drowned when his car was swept down a wash.,NA,NA,NA
2012-06-27,FL,Elfers,Pasco,46,M,NA,"Body washed up in a flooded area along the Anclote
  River.  Man drowned, but cardiovascular
  issues were an additional factor.",NA,NA,NA
