"congress","last","first","state","party","score"
"103th","Cohen","Bill","ME","R",0.530699
"103th","Bingaman","Jeff","NM","D",0.485789
"103th","Bryan","Richard","NV","D",0.474254
"103th","Daschle","Tom","SD","D",0.443042
"103th","Bond","Kit","MO","R",0.43401
"103th","D'Amato","Alfonse","NY","R",0.431271
"103th","Hollings","Ernest","SC","D",0.412672
"103th","Breaux","John","LA","D",0.373105
"103th","Exon","Jim","NE","D",0.367755
"103th","Pryor","David","AR","D",0.361041
"103th","Robb","Chuck","VA","D",0.346391
"103th","Kassebaum","Nancy","KS","R",0.341759
"103th","Kennedy","Ted","MA","D",0.339423
"103th","Grassley","Chuck","IA","R",0.329262
"103th","Danforth","John","MO","R",0.264452
"103th","DeConcini","Dennis","AZ","D",0.257378
"103th","Levin","Carl","MI","D",0.256241
"103th","Lieberman","Joe","CT","D",0.220746
"103th","Gorton","Slade","WA","R",0.218346
"103th","McCain","John","AZ","R",0.209943
"103th","Harkin","Tom","IA","D",0.11507
"103th","Biden","Joe","DE","D",0.110247
"103th","Leahy","Patrick","VT","D",0.095795
"103th","Inouye","Daniel","HI","D",0.061667
"103th","Conrad","Kent","ND","D",0.057755
"103th","Dodd","Chris","CT","D",0.038747
"103th","Kerrey","Bob","NE","D",-0.00874
"103th","Feinstein","Dianne","CA","D",-0.03087
"103th","Hutchison","Kay","TX","R",-0.03513
"103th","Lugar","Richard","IN","R",-0.04427
"103th","Cochran","Thad","MS","R",-0.04506
"103th","Burns","Conrad","MT","R",-0.04753
"103th","Glenn","John","OH","D",-0.06781
"103th","Dorgan","Byron","ND","D",-0.08275
"103th","Specter","Arlen","PA","R",-0.10886
"103th","Moynihan","Pat","NY","D",-0.11748
"103th","Moseley Braun","Carol","IL","D",-0.15639
"103th","Ford","Wendell","KY","D",-0.1658
"103th","Kohl","Herb","WI","D",-0.17779
"103th","Simon","Paul","IL","D",-0.19226
"103th","Rockefeller","Jay","WV","D",-0.20058
"103th","Roth","Bill","DE","R",-0.20644
"103th","Metzenbaum","Howard","OH","D",-0.21874
"103th","Faircloth","Lauch","NC","R",-0.26293
"103th","Craig","Larry","ID","R",-0.28854
"103th","Bennett","Bob","UT","R",-0.28919
"103th","Kempthorne","Dirk","ID","R",-0.29121
"103th","Riegle","Donald","MI","D",-0.36653
"103th","Graham","Bob","FL","D",-0.36783
"103th","Johnston","Bennett","LA","D",-0.37656
"103th","Pressler","Larry","SD","R",-0.38798
"103th","Murray","Patty","WA","D",-0.39197
"103th","Simpson","Alan","WY","R",-0.4273
"103th","Stevens","Ted","AK","R",-0.43319
"103th","Bradley","Bill","NJ","D",-0.45606
"103th","Murkowski","Frank","AK","R",-0.45645
"103th","Sasser","Jim","TN","D",-0.49818
"103th","Mack","Connie","FL","R",-0.5163
"103th","Thurmond","Strom","SC","R",-0.52181
"103th","Lott","Trent","MS","R",-0.5238
"103th","McConnell","Mitch","KY","R",-0.53723
"103th","Akaka","Daniel","HI","D",-0.55234
"103th","Sarbanes","Paul","MD","D",-0.5894
"103th","Brown","Hank","CO","R",-0.6193
"103th","Wellstone","Paul","MN","D",-0.62667
"103th","Pell","Claiborne","RI","D",-0.67456
"103th","Smith","Bob","NH","R",-0.68703
"103th","Mikulski","Barbara","MD","D",-0.72398
"103th","Coats","Dan","IN","R",-0.73752
"103th","Lautenberg","Frank","NJ","D",-0.80289
"103th","Kerry","John","MA","D",-0.80564
"103th","Mathews","Harlan","TN","D",-0.82511
"103th","Wofford","Harris","PA","D",-0.83298
"103th","Nickles","Don","OK","R",-0.86991
"103th","Wallop","Malcolm","WY","R",-1.01114
"103th","Feingold","Russ","WI","D",-1.0461
"103th","Boxer","Barbara","CA","D",-1.08552
"103th","Gregg","Judd","NH","R",-1.2084
"103th","Helms","Jesse","NC","R",-1.3333
"103th","Gramm","Phil","TX","R",-1.36967
"103th","Byrd","Robert","WV","D",-1.39783
"103th","Coverdell","Paul","GA","R",-1.54537
"103th","Akaka","Daniel","HI","D",-0.55234
"103th","Baucus","Max","MT","D",0.661835
"103th","Bennett","Bob","UT","R",-0.28919
"103th","Biden","Joe","DE","D",0.110247
"103th","Bingaman","Jeff","NM","D",0.485789
"103th","Bond","Kit","MO","R",0.43401
"103th","Boren","David","OK","D",1.308541
"103th","Boxer","Barbara","CA","D",-1.08552
"103th","Bradley","Bill","NJ","D",-0.45606
"103th","Breaux","John","LA","D",0.373105
"103th","Brown","Hank","CO","R",-0.6193
"103th","Bryan","Richard","NV","D",0.474254
"103th","Bumpers","Dale","AR","D",0.598726
"103th","Burns","Conrad","MT","R",-0.04753
"103th","Byrd","Robert","WV","D",-1.39783
"103th","Campbell","Ben","CO","D",0.64478
"103th","Chafee","John","RI","R",0.911664
"103th","Coats","Dan","IN","R",-0.73752
"103th","Cochran","Thad","MS","R",-0.04506
"103th","Cohen","Bill","ME","R",0.530699
"103th","Conrad","Kent","ND","D",0.057755
"103th","Coverdell","Paul","GA","R",-1.54537
"103th","Craig","Larry","ID","R",-0.28854
"103th","D'Amato","Alfonse","NY","R",0.431271
"103th","Danforth","John","MO","R",0.264452
"103th","Daschle","Tom","SD","D",0.443042
"103th","DeConcini","Dennis","AZ","D",0.257378
"103th","Dodd","Chris","CT","D",0.038747
"103th","Domenici","Pete","NH","R",0.947105
"103th","Dorgan","Byron","ND","D",-0.08275
"103th","Durenberger","David","MN","R",1.011092
"103th","Exon","Jim","NE","D",0.367755
"103th","Faircloth","Lauch","NC","R",-0.26293
"103th","Feingold","Russ","WI","D",-1.0461
"103th","Feinstein","Dianne","CA","D",-0.03087
"103th","Ford","Wendell","KY","D",-0.1658
"103th","Glenn","John","OH","D",-0.06781
"103th","Gorton","Slade","WA","R",0.218346
"103th","Graham","Bob","FL","D",-0.36783
"103th","Gramm","Phil","TX","R",-1.36967
"103th","Grassley","Chuck","IA","R",0.329262
"103th","Gregg","Judd","NH","R",-1.2084
"103th","Harkin","Tom","IA","D",0.11507
"103th","Hatch","Orrin","UT","R",0.541492
"103th","Hatfield","Mark","OR","R",1.246969
"103th","Heflin","Howell","AL","D",0.665132
"103th","Helms","Jesse","NC","R",-1.3333
"103th","Hollings","Ernest","SC","D",0.412672
"103th","Hutchison","Kay","TX","R",-0.03513
"103th","Inouye","Daniel","HI","D",0.061667
"103th","Jeffords","Jim","VT","R",0.961582
"103th","Johnston","Bennett","LA","D",-0.37656
"103th","Kassebaum","Nancy","KS","R",0.341759
"103th","Kempthorne","Dirk","ID","R",-0.29121
"103th","Kennedy","Ted","MA","D",0.339423
"103th","Kerrey","Bob","NE","D",-0.00874
"103th","Kerry","John","MA","D",-0.80564
"103th","Kohl","Herb","WI","D",-0.17779
"103th","Lautenberg","Frank","NJ","D",-0.80289
"103th","Leahy","Patrick","VT","D",0.095795
"103th","Levin","Carl","MI","D",0.256241
"103th","Lieberman","Joe","CT","D",0.220746
"103th","Lott","Trent","MS","R",-0.5238
"103th","Lugar","Richard","IN","R",-0.04427
"103th","Mack","Connie","FL","R",-0.5163
"103th","Mathews","Harlan","TN","D",-0.82511
"103th","McCain","John","AZ","R",0.209943
"103th","McConnell","Mitch","KY","R",-0.53723
"103th","Metzenbaum","Howard","OH","D",-0.21874
"103th","Mikulski","Barbara","MD","D",-0.72398
"103th","Moseley Braun","Carol","IL","D",-0.15639
"103th","Moynihan","Pat","NY","D",-0.11748
"103th","Murkowski","Frank","AK","R",-0.45645
"103th","Murray","Patty","WA","D",-0.39197
"103th","Nickles","Don","OK","R",-0.86991
"103th","Nunn","Sam","GA","D",1.276903
"103th","Packwood","Bob","OR","R",0.64076
"103th","Pell","Claiborne","RI","D",-0.67456
"103th","Pressler","Larry","SD","R",-0.38798
"103th","Pryor","David","AR","D",0.361041
"103th","Reid","Harry","NV","D",0.872084
"103th","Riegle","Donald","MI","D",-0.36653
"103th","Robb","Chuck","VA","D",0.346391
"103th","Rockefeller","Jay","WV","D",-0.20058
"103th","Roth","Bill","DE","R",-0.20644
"103th","Sarbanes","Paul","MD","D",-0.5894
"103th","Sasser","Jim","TN","D",-0.49818
"103th","Shelby","Richard","AL","D",1.878779
"103th","Simon","Paul","IL","D",-0.19226
"103th","Simpson","Alan","WY","R",-0.4273
"103th","Smith","Bob","NH","R",-0.68703
"103th","Specter","Arlen","PA","R",-0.10886
"103th","Stevens","Ted","AK","R",-0.43319
"103th","Thurmond","Strom","SC","R",-0.52181
"103th","Wallop","Malcolm","WY","R",-1.01114
"103th","Warner","John","VA","R",0.704715
"103th","Wellstone","Paul","MN","D",-0.62667
"103th","Wofford","Harris","PA","D",-0.83298
