idx,name,class,start,end,cost,col2,date,date2,mid,monday,year,display_name,label
128,"Winter Storm, Cold Wave",ind winter-storm-ind,1985-01-19,1985-01-22,1.9,#61c6e2,1985-01-19,1985-01-22,1985-01-20,2017-01-20,1985,"Winter Storm, Cold Wave",NA
129,Hurricane Allen,ind tropical-cyclone-ind,1980-08-07,1980-08-11,1.9,#397dc2,1980-08-07,1980-08-11,1980-08-09,2017-08-09,1980,Hurricane Allen,1
130,Western Wildfires,ind wildfire-ind,2012-06-01,2012-11-30,1.9,#9b0e11,2012-06-01,2012-11-30,2012-08-31,2017-08-31,2012,Western Wildfires,NA
131,Southern Flooding,ind flooding-ind,1990-05-11,1990-05-19,1.9,#699d8f,1990-05-11,1990-05-19,1990-05-15,2017-05-15,1990,Southern Flooding,NA
132,Northeast Flooding,ind flooding-ind,2006-06-25,2006-06-28,1.9,#699d8f,2006-06-25,2006-06-28,2006-06-26,2017-06-26,2006,Northeast Flooding,NA
133,Midwest/ Southeast Tornadoes,ind severe-storm-ind,2009-03-25,2009-03-28,1.9,#9d76b0,2009-03-25,2009-03-28,2009-03-26,2017-03-26,2009,Midwest/Southeast Tornadoes,NA
134,Midwest/ Plains/ Northeast Tornadoes,ind severe-storm-ind,2013-05-27,2013-05-31,1.9,#9d76b0,2013-05-27,2013-05-31,2013-05-29,2017-05-29,2013,Midwest/Plains/Northeast Tornadoes,NA
135,Midwest/ Mid-Atlantic Severe Weather,ind severe-storm-ind,2008-06-06,2008-06-12,1.9,#9d76b0,2008-06-06,2008-06-12,2008-06-09,2017-06-09,2008,Midwest/Mid-Atlantic Severe Weather,NA
136,Midwest Drought,ind drought-ind,2005-03-01,2005-08-31,1.9,#efba2b,2005-03-01,2005-08-31,2005-05-31,2017-05-31,2005,Midwest Drought,NA
137,Western Fire Season,ind wildfire-ind,2002-09-01,2002-11-30,1.8,#9b0e11,2002-09-01,2002-11-30,2002-10-16,2017-10-16,2002,Western Fire Season,NA
138,Plains Tornadoes and Central Severe Weather,ind severe-storm-ind,2016-05-08,2016-05-11,1.8,#9d76b0,2016-05-08,2016-05-11,2016-05-09,2017-05-09,2016,Plains Tornadoes and Central Severe Weather,NA
