frame.number,frame.time,eth.src,eth.dst,ip.src,frame.len,ip.dst,ip.proto
"244","Feb  9, 1970 02:07:52.239990000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","58","10.0.2.15","6"
"245","Feb  9, 1970 02:07:52.240497000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","93.184.215.200","6"
"246","Feb  9, 1970 02:07:52.242192000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","315","93.184.215.200","6"
"247","Feb  9, 1970 02:07:52.242230000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","54","10.0.2.15","6"
"248","Feb  9, 1970 02:07:52.262135000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","1267","10.0.2.15","6"
"249","Feb  9, 1970 02:07:52.530101000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","93.184.215.200","6"
"250","Feb  9, 1970 02:07:52.558855000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","316","93.184.215.200","6"
"251","Feb  9, 1970 02:07:52.558909000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","54","10.0.2.15","6"
"252","Feb  9, 1970 02:07:52.578234000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","449","10.0.2.15","6"
"253","Feb  9, 1970 02:07:52.842377000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","93.184.215.200","6"
"254","Feb  9, 1970 02:07:52.858073000 EST","52:54:00:12:34:56","52:55:0a:00:02:03","10.0.2.15","77","10.0.2.3","17"
"255","Feb  9, 1970 02:07:52.902687000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","10.0.2.3","173","10.0.2.15","17"
"256","Feb  9, 1970 02:07:52.950378000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","66","23.54.187.27","6"
"257","Feb  9, 1970 02:07:52.966554000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","23.54.187.27","58","10.0.2.15","6"
"258","Feb  9, 1970 02:07:52.967205000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","23.54.187.27","6"
"259","Feb  9, 1970 02:07:52.969439000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","378","23.54.187.27","6"
"260","Feb  9, 1970 02:07:52.969485000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","23.54.187.27","54","10.0.2.15","6"
"261","Feb  9, 1970 02:07:53.144780000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","23.54.187.27","255","10.0.2.15","6"
