"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Freestone County, TX",19660,21,17,48,12,84,-8.5,-2.5,79.7,9100,46,638
"Larue County, KY",14150,19,18,51,13,91,-12.9,-3,81.8,9110,64,572
"Polk County, GA",41250,25,21,49,12,79,-2,-4.3,88.2,28330,69,370
"Cherry County, NE",5750,9,11,31,11,89,3.5,2.2,18.2,0,0,2559
"Anne Arundel County, MD",550270,9,6,36,5,120,10.4,1.7,1.9,14210,3,3070
"Yankton County, SD",22580,8,14,38,6,99,10.1,0,8.9,0,0,2850
"Haywood County, NC",59010,14,16,50,9,90,-2.2,-2.7,59.6,9860,17,1266
"Cocke County, TN",35450,22,28,52,9,69,1.1,-0.6,80.9,29900,84,598
"Mason County, KY",17400,19,20,47,16,92,-2.8,-4.3,81.3,14150,81,588
"Utah County, UT",540430,7,14,37,4,102,11.3,7,2.8,0,0,3041
"Mason County, MI",28710,9,16,48,9,86,7.3,-1.5,37.6,7640,27,1952
"Morgan County, KY",13520,28,30,65,11,69,3.4,-12,94.8,12390,92,163
"Roane County, WV",14750,23,25,60,12,72,-7,-7.5,97.3,12800,87,84
"Middlesex County, CT",165530,6,7,36,6,112,4.5,-1.7,6.1,0,0,2938
"Yadkin County, NC",38100,22,19,47,11,83,8.6,-5.8,71.4,13210,35,896
"Sussex County, DE",203740,15,13,48,8,89,7.5,-0.4,34.6,16860,8,2046
"Clay County, AL",13620,25,19,54,9,81,-4.6,-2.1,81.7,7920,58,575
"Henderson County, NC",108640,12,15,49,9,99,3.4,-2.2,42.2,35950,33,1808
"Jackson County, GA",60930,19,15,44,10,107,12.1,0.9,29.6,11920,20,2203
"Rutherford County, NC",67180,19,21,54,12,79,-6.5,-4.4,90.7,47460,71,293
"Lincoln County, ID",5250,23,16,41,17,87,-2.6,-1.1,70.8,1160,22,914
"Patrick County, VA",18370,22,20,55,16,54,-5.3,-5.5,97,16500,90,95
"Holt County, NE",10430,8,12,34,12,87,-1.2,-0.5,31.2,60,1,2152
"Juniata County, PA",24790,18,12,44,6,89,4.2,-1.1,34,1860,8,2064
"Lake County, IN",493140,13,18,45,12,102,1.8,-1.5,51.1,139310,28,1531
"Lancaster County, PA",526840,16,11,38,5,108,3,1.9,12.7,540,0,2731
"Charleston County, SC",365670,11,18,41,11,116,8.4,4.4,19.7,55020,15,2513
"Austin County, TX",28720,14,10,41,11,104,-14,5,34.4,0,0,2052
"Grainger County, TN",22720,23,21,54,10,78,19.3,-0.5,67.5,9820,43,1017
"Hamblen County, TN",62860,19,22,50,8,87,-3.7,-1.8,71.7,32960,52,884
"Custer County, SD",8360,6,10,47,8,101,0.8,0.7,20.5,250,3,2488
"Wilkes County, NC",69090,26,24,54,12,69,0.5,-6.9,93.9,60310,87,190
"Siskiyou County, CA",44260,11,23,55,9,61,-3.6,-5.9,84.8,23180,52,478
"Chisago County, MN",53800,6,6,35,3,115,-2.1,-3.2,10.3,0,0,2807
"Muskegon County, MI",171330,12,20,49,9,85,6.3,-7.2,60.3,74630,44,1244
"Iroquois County, IL",29270,12,15,43,10,83,-3.9,-0.7,53.2,10160,35,1463
"Parke County, IN",17200,15,15,51,10,89,-3.3,0.4,58,0,0,1314
"Santa Cruz County, CA",267200,15,15,41,5,109,3.5,0,21.8,0,0,2447
"Hancock County, GA",9040,28,33,70,16,50,-17.3,-1.4,98.7,8720,96,43
"Kinney County, TX",3600,31,25,60,18,62,0.5,2.7,92,3600,100,253
"Bonneville County, ID",106700,9,13,39,8,108,3.2,0.9,13.6,0,0,2702
"Banks County, GA",18320,22,16,44,10,87,-9.9,-5,75.2,6240,34,775
"Tyrrell County, NC",4220,29,23,61,15,73,20.3,13,75.3,120,3,773
"Mercer County, PA",115740,11,14,48,9,82,4,0.8,39.3,18720,16,1901
"Lafayette County, MO",33070,13,11,42,10,107,-3.8,-5.6,45.2,1170,4,1715
"Lincoln County, MO",53460,15,15,43,10,112,-0.9,-0.4,41.7,4110,8,1823
"Mifflin County, PA",46710,18,16,48,7,77,1.5,1.7,50.1,1210,3,1561
"Washington Parish, LA",46720,24,26,58,13,71,0.3,-1.1,90.9,43410,93,285
"Centre County, PA",156240,7,20,45,6,95,4,2,25,430,0,2345
"Hawkins County, TN",56740,19,17,52,10,84,8.7,-4.1,65,24670,44,1097
"Henderson County, TN",27960,19,21,50,13,87,-0.6,-6.2,83.7,21260,76,510
"Chester County, PA",506420,7,7,35,4,162,6.5,1.2,1.7,0,0,3077
"Dillon County, SC",31530,28,32,55,10,64,11.9,-7.5,87.4,29990,95,394
"Clarion County, PA",39440,12,19,48,8,81,-2.6,-2.4,63,12340,31,1158
"Fairfield County, SC",23380,19,24,53,13,80,2.7,-8.8,88.7,16260,70,354
"Ohio County, KY",23960,23,22,52,14,91,41,2.6,58.7,15430,64,1292
"Saline County, AR",111810,11,9,41,8,135,5.7,3.8,7.7,2420,2,2887
"Perry County, KY",28260,30,27,58,12,75,-11.6,-6.6,98.3,23100,82,53
"Pike County, KY",64380,28,24,61,12,75,-2.5,-3.4,94.2,31810,49,183
"Powell County, KY",12550,26,28,60,15,67,11,-0.6,86.8,12550,100,414
"Mineral County, CO",700,4,7,49,5,81,38.4,6.5,8.1,0,0,2876
"Kleberg County, TX",32140,26,26,47,11,72,7.4,0.7,70.6,1560,5,920
"Yuba County, CA",73060,20,22,55,9,74,-0.7,0.1,78.6,33720,46,671
"Johnson County, KS",560030,4,7,31,5,145,7,2.2,0.9,0,0,3101
"Barrow County, GA",70870,18,14,41,12,108,9.3,5.1,25.8,0,0,2322
"Cassia County, ID",23280,21,15,43,5,95,8.1,1.7,26,0,0,2316
"Prince Edward County, VA",23140,21,22,57,12,58,-3.7,-1.5,91.9,16570,72,255
"Marion County, MO",28840,16,17,43,11,87,4.5,1.2,46.2,0,0,1683
"Jefferson Davis Parish, LA",31490,21,21,50,12,90,7.6,9.3,54.6,0,0,1422
"Emmons County, ND",3490,17,14,43,7,73,3.4,-6.8,56.5,0,0,1360
"Montour County, PA",18480,10,11,44,7,101,14.6,10.1,7.3,0,0,2899
"Moniteau County, MO",15720,18,12,46,10,99,2.2,-1.5,43.9,1230,8,1754
"Northampton County, PA",299230,11,10,42,6,115,8,-0.3,8.5,0,0,2861
"Jefferson County, TN",52170,19,17,47,10,93,6.7,-2.7,53.2,0,0,1466
"Tillamook County, OR",25330,11,18,53,5,85,1.8,-0.7,45.4,0,0,1709
"Iron County, UT",46730,10,23,45,9,71,-1.3,-1.6,64.8,20640,44,1101
"Carbon County, MT",10190,6,12,40,12,105,2.9,5.4,15.5,0,0,2643
"Kent County, RI",165250,10,9,38,6,112,-1.2,-3.7,19.8,0,0,2510
"Robertson County, KY",2240,29,27,59,19,70,-6.7,-28,99.6,2010,90,14
"Hennepin County, MN",1184090,7,13,33,5,107,10,0.7,4.2,40400,3,2999
"Sumner County, TN",166640,12,10,39,7,126,11,2.1,6.8,5530,3,2917
"Union County, KY",15190,17,29,53,9,89,2.8,-5.6,76.3,4400,29,741
"Hamilton County, IL",8370,13,17,48,11,73,2.9,-0.5,59.7,720,9,1262
"Hancock County, IL",18810,9,12,43,11,80,-2,-11.7,58.6,2250,12,1295
"Panola County, TX",23880,17,14,44,12,99,-2.7,-0.4,51.7,3130,13,1512
"Transylvania County, NC",32940,11,14,53,9,94,-2.6,-2.8,52.9,530,2,1474
"LaSalle County, IL",112700,11,13,43,11,90,2.5,-3,44.6,0,0,1733
"Lamar County, TX",49700,15,19,46,13,78,-9.8,1.9,71.8,24970,50,883
"Grayson County, VA",15260,22,20,54,16,45,17.3,-5.1,87.2,14810,97,401
"Lee County, FL",647550,13,16,53,12,102,10.5,5.4,35.3,62090,10,2025
"Prince George's County, MD",884760,14,10,35,7,100,2.2,0.2,16.7,740,0,2606
"Eureka County, NV",1760,11,16,36,13,131,12.5,12.5,14.1,0,0,2686
"Union Parish, LA",22620,17,28,55,15,78,2.5,-3.3,87.9,16670,74,381
"Camden County, NJ",512630,12,13,41,9,86,1.8,-2.6,40.3,93810,18,1867
"Yancey County, NC",17660,17,22,52,15,84,-5,-3.8,88.5,17490,99,361
"Bradley County, AR",11320,21,29,52,15,82,-4.9,-5.7,94.1,11020,97,185
"Addison County, VT",36880,8,10,37,5,109,1.2,-3.6,14.7,0,0,2668
"Cache County, UT",115950,8,16,36,5,84,4.5,-0.6,18.3,0,0,2556
"Jefferson County, TX",252470,17,21,49,12,81,2.1,-2.4,76.2,127980,51,744
"Lewis County, TN",12010,21,20,53,10,81,4.5,-6.7,78.4,10050,84,676
"Newton County, TX",14320,15,15,57,20,70,-9.5,-3.7,90.3,6810,48,306
"Richmond County, GA",201240,16,25,51,16,76,5.7,-1.1,79,104310,52,657
"Taliaferro County, GA",1700,34,31,63,15,50,-22.7,-22.7,99.9,1670,98,3
"Greer County, OK",6140,20,14,55,16,89,31.2,20.5,48.6,0,0,1610
"Harmon County, OK",2880,21,23,51,20,68,-10.9,-11.9,98.4,2410,83,51
"Toombs County, GA",27270,20,26,48,11,63,-1,-5.2,89.7,27020,99,324
"Duval County, FL",880750,12,17,43,13,101,5.5,0.5,37.7,196430,22,1950
"Lorain County, OH",302470,11,15,43,8,108,6,-1.7,24.2,49530,16,2370
"Morgan County, OH",14980,14,20,52,13,79,11.4,-0.6,62.5,6820,46,1174
"Pike County, OH",28500,23,24,56,8,82,18.5,-5.5,73.1,22670,80,843
"Tallahatchie County, MS",15120,33,29,68,14,81,-6.6,-5.5,98.1,8120,54,58
"Chautauqua County, NY",133560,12,19,47,8,73,0.2,-1.7,60.7,62640,47,1229
"Roberts County, SD",10300,13,21,43,12,96,-1.8,-1.7,59.7,990,10,1261
"Shannon County, SD",14010,21,53,67,16,52,2.6,6.5,88,12420,89,378
"Barton County, MO",12290,15,22,47,10,81,3.8,-8,71.6,0,0,888
"Briscoe County, TX",1600,23,20,44,25,70,0,0,82.7,1600,100,544
"Dunklin County, MO",31780,28,27,53,10,67,6,-7,89.4,31400,99,332
"Surry County, NC",73390,24,20,48,11,77,-0.1,-0.3,76.8,58780,80,727
"Dauphin County, PA",269950,11,14,39,9,102,0.4,-2.3,32.4,33930,13,2113
"Granite County, MT",3130,11,13,52,14,106,7.8,11,30,0,0,2190
"Cheyenne County, NE",10040,6,14,29,9,103,1.5,-1.4,17,0,0,2596
"Karnes County, TX",14880,28,23,59,14,85,52.7,22.2,66,0,0,1065
"Albany County, WY",37220,4,28,38,9,73,-0.6,1.2,44.4,0,0,1741
"Carbon County, WY",15800,11,15,36,14,98,-17.9,0,45.1,830,5,1719
"Laramie County, WY",94410,7,11,38,7,100,7.5,7.7,3.8,0,0,3010
"Appomattox County, VA",15140,18,18,48,12,74,-5.8,-4,84.5,2270,15,486
"Campbell County, WY",47450,9,7,27,9,135,1.8,-1.2,9.5,0,0,2832
"Sanilac County, MI",42300,12,16,50,11,85,-1.4,-4.2,68.9,14540,34,974
"Lake County, FL",305010,13,14,52,10,96,7.8,4,32.7,26960,9,2104
"Shelby County, AL",201170,9,9,36,7,160,2.7,0.6,6.8,13990,7,2916
"Kankakee County, IL",112680,13,16,44,8,89,5.3,0.5,32.8,38590,34,2100
"Vanderburgh County, IN",180880,10,16,41,10,88,3.5,0.2,34.7,63760,35,2041
"Franklin County, OH",1197590,10,18,36,11,106,7,-0.1,23.4,209940,18,2397
"Buchanan County, MO",89540,13,18,42,13,94,1.9,-8.6,61.5,12020,13,1206
"Platte County, MO",92150,5,7,33,7,144,-3.9,2.4,5.8,0,0,2948
"Hamilton County, OH",803270,11,18,40,12,100,1.4,-2.3,46.3,175040,22,1682
"Dawson County, MT",9220,9,15,39,8,107,8.7,8.9,7.6,0,0,2892
"Ashe County, NC",27170,19,21,47,9,78,-0.6,-8.2,80.4,12710,47,614
"Wilkin County, MN",6560,9,9,35,9,86,-7,0.6,26.5,0,0,2299
"McIntosh County, ND",2790,24,13,43,17,68,0.9,4.5,65.8,1120,40,1071
"Grant County, NM",29300,15,20,53,11,87,6.6,-6.1,69.9,7960,27,941
"Jefferson County, MT",11470,5,9,43,5,131,7,7.2,2.2,0,0,3061
"Stewart County, TN",13310,15,19,55,15,92,-0.4,-9.8,84.2,3420,26,496
"Bosque County, TX",18050,19,14,52,16,84,-4.2,-1,77.9,4840,27,693
"Caroline County, VA",29060,18,13,44,8,90,-1.7,-2.6,49.5,4090,14,1581
"Converse County, WY",13990,9,9,32,7,106,29,6,1.8,0,0,3072
"Adams County, ID",3910,8,15,54,6,82,1.6,-16.7,52.9,0,0,1476
"Lake County, MN",10790,6,14,47,7,77,11.6,3.5,18.5,0,0,2551
"Ouray County, CO",4530,2,7,46,11,102,1.2,-3.7,31.1,0,0,2154
"Phillips County, MT",4190,9,14,46,8,82,-9.9,-5.5,55.3,420,10,1400
"Montague County, TX",19570,17,15,47,13,87,30,-3,51.8,1870,10,1508
"Emery County, UT",10830,11,11,45,14,85,-7.5,-8.3,67.6,2840,26,1016
"Bexar County, TX",1789090,17,18,41,8,97,7.5,4.4,27.8,417490,23,2258
"Harding County, NM",660,11,18,65,10,70,-10,-10,86.2,30,4,432
"Kings County, NY",2570800,21,23,44,8,80,11.3,10.4,44.2,476010,19,1746
"Delta County, MI",36840,9,17,49,9,86,-2.2,-5.8,60.8,50,0,1226
"Conway County, AR",21180,15,23,50,8,90,-7.2,-0.2,66.5,12020,57,1048
"Smyth County, VA",31880,20,19,50,13,59,-2.3,-8,92.8,30870,97,226
"Miller County, AR",43540,15,20,46,11,99,-2.7,-1.8,63.2,0,0,1151
"Laurens County, SC",66390,22,21,49,12,85,3.5,-1,71.8,42980,65,881
"Crook County, WY",7160,6,5,35,8,101,1.3,0.4,8,0,0,2879
"Wayne County, TN",16970,25,21,60,13,70,-4.2,-9.5,97.7,13420,79,73
"St. Croix County, WI",85440,5,7,31,5,133,14.9,3.1,0.4,0,0,3115
"Randolph County, AR",17790,18,22,51,8,88,1.6,-0.9,63.7,370,2,1137
"Routt County, CO",23430,4,10,29,12,103,4.3,1.1,11.1,0,0,2780
"Butte County, ID",2730,10,16,52,23,87,-16.9,-16.9,83.2,1600,58,526
"White County, AR",78280,17,18,48,9,104,0.2,1.2,47.1,15200,19,1656
"Millard County, UT",12580,12,13,41,9,85,0.1,-1.6,38.9,0,0,1913
"Suwannee County, FL",43400,22,24,55,12,80,-4.9,-2.6,90.5,12160,28,299
"Bell County, TX",321590,11,15,48,17,97,5.2,2.2,40.3,93070,29,1868
"Taylor County, FL",22690,26,14,61,15,78,-3.4,-2,87.1,8740,39,404
"King William County, VA",16050,11,12,36,6,98,-0.5,-8.1,29.7,1300,8,2198
"Fannin County, TX",33780,18,18,52,13,85,-1.1,-5.2,82.8,16740,50,541
"Chaves County, NM",65850,22,22,46,11,90,3.2,-0.9,63.9,33760,51,1131
"Holmes County, OH",43180,44,14,40,7,98,10.2,4.8,23.5,2590,6,2391
"Foard County, TX",1160,21,7,52,20,65,-15.2,0,81,1140,98,595
"Leelanau County, MI",21740,6,11,48,8,115,7.2,2.4,10.1,0,0,2813
"Nelson County, ND",3080,10,9,40,15,91,14.9,9.5,15.8,0,0,2634
"Orangeburg County, SC",91260,20,25,54,13,75,-5.5,-4.9,94.6,64570,71,169
"Teton County, WY",21960,4,9,24,10,126,1.7,5,5.8,0,0,2946
"Fairfax County, VA",1117070,8,6,32,4,173,4.6,2.7,1.4,0,0,3084
"Okfuskee County, OK",12260,21,26,58,18,77,82.7,1.2,77.5,4550,37,705
"San Patricio County, TX",65510,23,16,42,12,98,26,1.8,38.6,10980,17,1922
"Mariposa County, CA",17950,11,16,51,14,82,7.6,-1.1,56.3,13170,73,1369
"Harrison County, OH",15700,13,18,47,12,86,15.3,-2.9,52.3,3460,22,1492
"Curry County, NM",50170,18,20,45,10,90,-1.6,-0.3,61.9,950,2,1193
"Ferry County, WA",7660,13,23,61,11,62,11.7,-0.7,69.8,5600,73,945
"Stevens County, WA",43540,9,18,53,7,70,-6.2,-4.7,71.4,14620,34,894
"Brown County, WI",252700,9,12,35,5,101,3.8,-0.8,10.5,29700,12,2800
"Burke County, NC",90160,23,21,50,12,81,2.9,-0.8,76,12920,14,752
"Morrison County, MN",33050,11,12,37,4,79,-0.4,-1,28.7,0,0,2231
"Spotsylvania County, VA",126200,11,8,37,6,121,7.9,1.5,4.3,3170,3,2994
"Oregon County, MO",10980,19,26,56,14,62,9,-5.8,89.5,8880,81,331
"Marquette County, MI",67540,6,17,48,7,92,1.7,-2.4,36.8,580,1,1979
"Galveston County, TX",302280,13,14,40,11,117,5.2,5.1,18,30800,10,2565
"Talbot County, MD",37890,12,10,44,9,79,3.5,-2.5,40.5,0,0,1863
"Polk County, TN",16720,22,19,53,15,88,-3,-5.4,89.1,5090,30,343
"Fulton County, PA",14750,15,12,45,7,91,-0.7,-0.7,39.1,1250,9,1904
"Rowan County, NC",138250,18,19,49,12,90,7.6,-0.5,58.6,30610,22,1297
"Clinton County, IA",48660,9,14,39,8,95,13.8,-4.1,21.8,0,0,2445
"Martin County, NC",23950,19,23,54,17,77,-6.1,-8.9,96.1,19470,81,124
"Walthall County, MS",15130,22,25,52,7,89,-7.1,-9.2,84.2,13760,91,495
"Wright County, MN",127390,6,6,29,4,120,10.2,5,0.5,0,0,3114
"Upson County, GA",26680,24,23,54,13,70,-0.6,-4.9,93.6,24370,91,202
"Cheshire County, NH",76600,8,12,38,5,85,-3.3,-1,25.6,0,0,2329
"Saunders County, NE",20870,7,9,34,6,115,5.7,5,1.7,0,0,3075
"Whitfield County, GA",103130,32,20,43,12,81,-2.6,-4.5,83.9,58730,57,505
"Morgan County, UT",9960,2,5,41,4,133,2,4.9,2.7,0,0,3046
"Bennington County, VT",36740,9,14,41,5,91,2.9,-5.4,31.6,0,0,2139
"Ste. Genevieve County, MO",18020,16,15,44,6,97,-5.8,-5.1,50.9,100,1,1536
"Stafford County, VA",134670,7,5,38,5,152,3.8,4,1.9,0,0,3068
"Caldwell County, NC",82140,24,21,50,13,75,-2.2,-5.2,92,68160,83,251
"Banner County, NE",790,8,15,35,15,90,42.9,42.9,15.3,0,0,2649
"Grant County, AR",18010,14,11,46,10,112,-3.8,3,33.6,130,1,2078
"Union County, PA",44960,15,12,53,5,92,-1.3,-3.5,48.9,0,0,1599
"Greene County, AR",42970,16,18,48,7,96,18.9,-4.4,43.7,0,0,1762
"Rensselaer County, NY",159600,9,13,39,8,103,2.9,0.2,17.2,0,0,2591
"Cleveland County, NC",97460,18,20,49,13,84,1.9,-2.6,75,47240,49,783
"Pottawatomie County, KS",22340,4,10,35,5,117,9.6,-1.8,3.5,0,0,3020
"Wicomico County, MD",100380,13,17,41,11,71,4.2,0.1,50.7,2460,3,1543
"Sagadahoc County, ME",35100,6,12,39,8,113,-5.3,-4.8,28,0,0,2253
"Colorado County, TX",20770,18,17,45,16,86,1.9,1.3,61.9,4170,20,1192
"Humboldt County, CA",134880,10,21,47,9,69,-3.3,-5,74.4,48970,36,797
"Musselshell County, MT",4760,9,17,47,18,96,13.3,-6.6,51.7,0,0,1511
"Mecklenburg County, NC",968500,11,16,36,8,121,11.1,3,8.3,87120,9,2868
"Walton County, GA",85380,16,15,43,8,108,3.2,0.3,30.2,23760,28,2183
"Knox County, TX",3780,19,18,48,21,70,-16.5,-7.5,94.4,3200,85,177
"Douglas County, WA",39180,20,16,41,7,88,7,-1,38.3,5500,14,1931
"Traill County, ND",8110,10,10,37,9,97,5.3,4.9,10.3,0,0,2806
"Glenn County, CA",28020,25,20,50,9,65,6.6,-2.4,76.6,17230,62,733
"Hempstead County, AR",22420,20,26,48,19,79,-4.3,-3.3,91.8,17950,80,258
"Warren County, PA",41220,10,13,46,7,84,1.6,7.2,26.3,230,1,2303
"Grand Forks County, ND",68140,7,18,33,6,85,3.7,3.3,17.3,0,0,2585
"Butler County, NE",8310,11,9,35,6,94,-0.3,4.5,10.6,0,0,2796
"Union County, NJ",545240,15,11,38,7,96,-0.7,0.3,26.1,27640,5,2312
"Howard County, AR",13690,22,21,45,16,92,-1.1,6,66.8,4820,35,1040
"Cooke County, TX",38560,15,15,41,8,97,8.7,2.2,20,110,0,2502
"Crockett County, TX",3870,32,17,40,12,98,39.6,1.6,38.2,0,0,1935
"Culberson County, TX",2330,35,29,47,17,67,-4.2,2,90.4,2310,99,303
"Moultrie County, IL",14900,15,14,43,9,83,10.6,1.3,33.1,1930,13,2094
"Dickinson County, IA",16880,5,7,37,8,106,1.1,-0.4,9.4,0,0,2834
"Franklin County, ME",30570,8,15,44,7,85,0.5,2.9,27.2,550,2,2276
"Broadwater County, MT",5700,9,10,41,4,103,-14.3,-1.4,21.8,0,0,2448
"Palo Pinto County, TX",28030,19,18,47,13,79,8.8,3.3,56.1,21750,78,1373
"Webster County, GA",2740,23,25,48,11,65,50.4,20.8,59.2,680,25,1276
"Wheeler County, GA",7930,27,24,81,17,56,-2,-11.8,99.3,7780,98,22
"Cedar County, NE",8740,7,11,35,10,95,4.3,-5.1,24.1,0,0,2375
"Phelps County, MO",45090,13,19,49,12,88,1.4,-1.8,63.2,3340,7,1153
"Allegheny County, PA",1229170,7,13,41,10,99,5.1,0.7,17.5,123160,10,2580
"Inyo County, CA",18440,12,14,45,6,74,-0.5,-2.1,46.3,60,0,1681
"Pulaski County, AR",388750,10,17,41,13,113,-2.3,-0.9,43.8,109720,28,1760
"Colusa County, CA",21420,31,15,45,9,82,1.6,1.6,53.8,790,4,1448
"Westmoreland County, PA",362590,8,10,43,9,97,3.8,-0.9,19.6,10180,3,2514
"Douglas County, NE",531060,11,15,33,7,102,-1,0.7,19.8,77800,15,2509
"Linn County, KS",9550,11,15,49,15,90,3,0.6,49.7,3580,38,1575
"Alger County, MI",9520,11,14,61,8,80,4.2,-2.9,55,0,0,1410
"Jackson County, KY",13370,30,32,61,11,63,16.6,-8.1,91.2,12850,96,275
"Dickinson County, MI",26100,7,13,47,6,90,-1.1,-5.1,39.8,510,2,1883
"Rutherford County, TN",275460,10,13,36,6,124,16.6,3.8,3.8,0,0,3011
"Scott County, TN",22100,25,28,55,13,68,-8.5,-1.9,95.7,19390,88,135
"Sequatchie County, TN",14430,18,19,50,9,95,0.7,-3.2,63.5,2120,15,1143
"Riverside County, CA",2266900,20,17,48,7,92,8.1,3.7,37.1,452180,20,1968
"Dawson County, GA",22500,15,16,47,8,110,8.8,-3,36.3,0,0,1995
"Clayton County, GA",264220,18,25,43,16,82,-0.9,-4.1,84.2,189090,72,497
"Wallowa County, OR",6890,7,14,48,10,82,-6.8,4.7,43.9,0,0,1755
"Brown County, KS",9930,8,19,39,11,79,-2.6,7.7,43.4,210,2,1772
"Nevada County, AR",8880,18,29,50,12,77,13.1,-9.6,81.9,7740,87,569
"Perry County, AR",10350,17,14,49,15,102,-12.5,-5.3,73.7,460,4,825
"Beckham County, OK",22940,17,14,46,19,106,29,9.3,32.6,6820,30,2108
"Pender County, NC",54220,14,18,48,11,95,4.8,5,42.6,17510,32,1796
"Pike County, MO",18570,21,16,51,12,84,12.5,1.3,53.7,110,1,1450
"Hill County, TX",35030,21,20,48,12,78,6,-4.7,76.4,30310,87,739
"New Hanover County, NC",209590,9,18,41,9,106,3.7,1.6,22.5,22230,11,2423
"Wabash County, IL",11730,10,13,42,11,85,-1,-2.2,46.9,260,2,1664
"Somerset County, MD",26200,21,24,64,13,50,-6.4,-4.4,97.2,19720,75,89
"Knott County, KY",16140,31,27,63,18,73,-27.5,-7.9,99.7,13300,82,9
"Laurel County, KY",59540,26,23,53,7,83,-0.4,-3.5,81.1,40520,68,594
"Smith County, TN",19090,19,16,48,7,99,8.5,-6.7,47.1,2880,15,1657
"Tipton County, TN",61430,15,13,44,8,119,3.4,-7.5,38.7,21380,35,1918
"Montgomery County, KS",34600,11,18,46,16,79,-2.8,-8,80.5,18810,54,610
"Delta County, TX",5240,14,20,55,17,78,-14.4,0,86.2,3800,73,433
"Johnson County, GA",9850,24,22,52,12,74,-5.6,-4,93.2,9660,98,214
"Forest County, WI",9200,14,18,51,8,77,-5.1,0.4,66.1,1400,15,1062
"Lee County, AR",10150,32,30,63,19,65,-12.1,-6.6,99.8,8300,82,6
"Prairie County, AR",8480,21,20,49,10,89,-2.1,-4.3,77.9,2950,35,691
"Aleutians East Borough, AK",3300,21,16,12,12,83,0,0,52.6,0,0,1483
"Milwaukee County, WI",953400,14,22,41,8,82,-0.1,-3.1,60,333760,35,1252
"Wayne County, NY",92890,11,12,42,6,88,-2.6,-0.9,31.8,8980,10,2132
"Burlington County, NJ",450160,8,6,39,6,111,3.4,1.6,5.8,7890,2,2947
"Alameda County, CA",1559310,13,13,40,5,120,6.3,3,9.7,129070,8,2824
"Fulton County, KY",6550,25,25,56,20,76,-21.7,-6.5,98.8,6550,100,40
"Loudon County, TN",49750,14,16,52,7,113,6.3,3.1,28.1,2370,5,2250
"Harlan County, KY",28740,30,32,66,14,58,-9.8,-4.8,99.4,22950,80,19
"Pennington County, SD",104570,8,13,36,6,100,5.9,2.7,6.5,0,0,2927
"Aransas County, TX",23890,16,21,53,13,80,3,7.6,66,3010,13,1064
"Cheatham County, TN",39320,17,15,41,7,117,1.4,-0.6,31,0,0,2159
"Leslie County, KY",11130,36,24,64,16,67,-2.6,-2.7,97.6,5040,45,77
"Letcher County, KY",23970,25,25,61,15,73,-5.8,-6.2,98.5,17460,73,49
"Iron County, MI",11620,9,15,55,9,73,-0.8,-8.7,69.7,0,0,949
"Chippewa County, MN",12240,12,11,35,11,85,-1.6,-6.5,47.8,710,6,1635
"Denali Borough, AK",2050,9,13,30,18,110,-11.5,6.2,29.2,80,4,2215
"Dillingham Census Area, AK",4960,16,18,49,19,76,1.1,-8,86.4,2110,43,427
"Matanuska-Susitna Borough, AK",93840,8,10,43,8,100,11.6,5.9,6.9,2650,3,2913
"Vilas County, WI",21370,8,14,51,7,77,-10.7,-5.3,62.6,3000,14,1170
"Currituck County, NC",24210,15,10,40,9,126,17.7,2.9,9.7,0,0,2825
"New Madrid County, MO",18570,24,23,49,14,72,4.8,3.6,75.7,9490,51,762
"Big Horn County, MT",13080,16,29,48,17,91,1.7,5.3,65.9,3630,28,1068
"York County, SC",235290,12,14,40,8,119,7.4,2.2,13.9,1480,1,2693
"McCormick County, SC",10000,22,22,66,14,86,9.1,-6.4,84.6,6570,66,482
"Catron County, NM",3650,9,25,66,16,88,18.7,-3.3,68.8,1460,40,976
"Mississippi County, MO",14280,27,30,56,6,60,-10,-9.4,95,13940,98,157
"Morrow County, OH",34990,13,13,42,8,105,-0.2,0.8,28.2,0,0,2245
"Cherokee County, OK",47860,15,23,50,14,81,-3,-0.5,79.3,38620,81,649
"Saluda County, SC",19970,23,23,50,14,85,-5.6,-4.2,91.4,16000,80,271
"Montgomery County, NC",27630,26,26,53,11,70,-5.1,-10.5,96.5,18520,67,110
"Jackson County, OH",32950,17,24,50,8,77,-1.9,-0.5,71.7,15410,47,884
"Chouteau County, MT",5860,9,22,45,13,88,16.2,5.3,34.8,1480,25,2040
"Powell County, MT",7010,10,15,55,7,88,-1.9,0,46.6,0,0,1670
"Greene County, NY",48620,13,14,52,9,85,3.4,2.3,43.6,3280,7,1764
"Oconee County, SC",74660,17,19,53,12,92,6.5,-1.2,61,25050,34,1219
"Smith County, TX",214740,15,17,43,8,89,4.9,4.2,32.6,26680,12,2109
"Yakutat City and Borough, AK",640,8,5,27,11,97,-12.5,0,24.3,0,0,2369
"Presidio County, TX",7480,45,21,49,23,59,30.4,2.4,77.1,5050,68,718
"Warren County, NJ",107620,10,8,39,7,98,7.6,-1.8,12,0,0,2753
"Furnas County, NE",4910,10,17,41,15,78,-0.7,-5.1,68,0,0,1002
