"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Shelby County, IA",12030,8,12,37,5,94,-3.5,0.3,17.2,0,0,2592
"Wright County, IA",13010,10,11,41,15,82,-5.2,-2.7,56.9,0,0,1351
"Edmonson County, KY",12140,20,17,53,11,98,7.3,-3.8,62.4,3860,32,1178
"Gratiot County, MI",42060,11,19,53,8,85,2.7,-1.7,55.8,30,0,1385
"Natrona County, WY",78670,8,10,34,6,98,9.3,1.1,5.1,0,0,2970
"Rooks County, KS",5170,8,16,39,10,85,11,4.2,19.2,0,0,2527
"Floyd County, TX",6260,24,23,42,17,78,7.8,-3.1,77,3750,60,721
"Howard County, TX",35700,24,16,53,14,91,-1.6,-0.3,75,34180,96,782
"Mason County, TX",4060,15,11,44,16,87,11.7,2.3,37.9,0,0,1944
"Fairfax city, VA",23510,8,9,35,3,155,6.7,-4.1,5.9,0,0,2943
"Buena Vista city, VA",6680,23,23,46,6,51,16.9,-9.7,72.2,0,0,870
"Palm Beach County, FL",1359070,12,15,46,9,112,9.6,6.1,17.6,154780,11,2577
"Warren County, IN",8420,14,7,41,7,116,15.2,-3.3,13.9,180,2,2695
"Stanton County, KS",2190,20,7,31,16,81,-8.1,-13,69.3,0,0,960
"Nome Census Area, AK",9790,15,28,47,10,66,-17.2,6.4,75.1,2810,29,781
"Lake County, OH",229600,9,9,38,6,116,3.1,-0.9,8.8,0,0,2854
"Vance County, NC",45000,23,26,51,10,73,-3.5,-2.7,88.2,16850,37,369
"Sanders County, MT",11370,12,23,57,9,68,-2,1.1,72.7,2400,21,854
"George County, MS",22960,18,18,53,14,108,12.6,-2.5,58,280,1,1316
"Harlan County, NE",3460,9,12,43,11,89,5.2,4,23,0,0,2409
"Kenai Peninsula Borough, AK",56690,7,9,43,8,88,8,4.6,10.9,0,0,2787
"Atkinson County, GA",8300,33,30,48,17,62,19.5,-6.3,89.8,8120,98,319
"Greensville County, VA",11910,24,20,64,16,60,-27.8,-15.8,99.5,9560,80,17
"Lafayette County, WI",16850,10,11,34,6,95,10.5,1.4,6.9,0,0,2912
"Noble County, OH",14560,19,14,66,5,76,5.4,4.3,46.6,370,3,1670
"Hubbard County, MN",20520,8,13,43,4,76,6.6,6,15,630,3,2659
"Martin County, IN",10290,18,14,43,7,93,-21.2,-3.7,57.2,160,2,1340
"Maui County, HI",158810,9,11,37,15,95,5.8,1.8,22.9,1470,1,2411
"Calhoun County, IA",9980,10,15,44,10,85,-4.7,-1.7,49.9,0,0,1569
"Webster County, IA",37400,10,16,44,9,80,0.8,-1.4,45.9,0,0,1693
"Grant County, KS",7860,29,14,35,5,105,11.7,7.5,13,0,0,2721
"Smith County, MS",16340,19,23,48,11,95,-11.1,-12.4,84.3,16100,99,494
"Bond County, IL",17570,14,16,50,10,84,-0.8,-6.8,70.7,440,3,916
"Dallas County, MO",16630,20,23,53,13,80,-4.4,4.7,80.4,12990,78,615
"Wheeler County, NE",850,6,13,29,8,84,-4.8,16.7,17.5,0,0,2581
"Jackson County, MI",159930,10,18,49,10,93,9.7,-2.1,43.4,22500,14,1770
"Wise County, TX",60410,15,10,42,10,107,22.1,7.6,13.7,0,0,2701
"Lexington city, VA",7110,18,19,68,10,57,-1.6,-7.1,91.8,7100,100,259
"Chemung County, NY",88680,11,16,46,7,85,-2.1,-2.2,47.6,18330,21,1640
"Lamb County, TX",13880,29,23,45,21,71,-5.1,-7.9,96.4,11990,86,115
"Staunton city, VA",24130,15,18,44,10,62,4.6,-2.8,63.8,0,0,1132
"Baldwin County, AL",191210,11,14,45,17,115,7.5,4.4,28.1,29540,15,2247
"Polk County, AR",20450,15,22,51,11,81,-2.6,-9,84.8,5750,28,477
"San Luis Obispo County, CA",274180,10,15,47,5,97,6.9,1.2,19.3,90,0,2525
"Franklin County, IN",22980,14,13,40,6,103,13.3,-6.8,25.9,4870,21,2319
"Pendleton County, KY",14640,16,15,44,12,106,11.1,-1.6,38,710,5,1941
"Roger Mills County, OK",3740,8,16,44,28,115,9.7,-9.5,44.6,90,3,1735
"Cass County, ND",158040,5,13,27,5,95,6,3.1,4.3,0,0,2993
"Rockingham County, NC",92600,21,19,49,11,83,-0.3,-2.6,77.7,30910,33,698
"Eddy County, NM",54830,18,13,41,10,114,17.1,5.2,17.9,0,0,2569
"Olmsted County, MN",147430,6,9,31,5,110,3.5,2.9,2.3,0,0,3056
"Shasta County, CA",178520,11,18,53,7,73,0.8,-4.6,67.6,6560,4,1014
"Brown County, IN",15070,12,14,43,11,109,-9.8,-3.9,51.3,0,0,1525
"Izard County, AR",13520,19,19,60,14,76,-0.1,-2.8,87.4,9090,67,397
"Marinette County, WI",41490,10,13,46,6,78,-0.9,-5.4,48.2,2190,5,1622
